Total Line Failures,Maximum failed line capacity,Load shed from previous step,Difference in Load Shed,Load,Steady State,Capacity of Failed Ones,Capacity of Failed Ones 2,Failed Line Index,Capacity of Failed One,Time of Failure Event,Accumulation of Failed Capacities,Demand-Loadshed Difference,Generation,Region 0 Failures,Region 1 Failures,Region 0 Topological Factor,Region 1 Topological Factor,Region of Failure
32,0.0,-1.0,-1.0,6976.340000000001,31,50.0,200.0,107,50.0,979.0,979.0,5997.340000000001,5997.464421330491,14,18,0.4375,0.5625,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
33,0.0,-1.0,-1.0,6976.340000000001,32,50.0,200.0,110,50.0,1064.0,1064.0,5912.340000000001,5912.464421340549,14,19,0.42424242424242425,0.5757575757575758,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
34,0.0,-1.0,-1.0,6976.340000000001,33,50.0,200.0,81,50.0,1064.0,1064.0,5912.340000000001,5912.464421343673,15,19,0.4411764705882353,0.5588235294117647,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
35,0.0,-1.0,-1.0,6976.340000000001,34,50.0,200.0,82,100.0,1009.0,1009.0,5967.340000000001,5966.947574732089,16,19,0.45714285714285713,0.5428571428571428,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
36,0.0,-1.0,-1.0,6976.340000000001,35,50.0,200.0,60,50.0,936.0,936.0,6040.340000000001,6039.975098297407,17,19,0.4722222222222222,0.5277777777777778,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
37,0.0,-1.0,-1.0,6976.340000000001,36,50.0,200.0,56,50.0,986.0,986.0,5990.340000000001,5990.711992402014,18,19,0.4864864864864865,0.5135135135135135,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
38,0.0,-1.0,-1.0,6976.340000000001,37,50.0,200.0,50,50.0,970.0,970.0,6006.340000000001,6006.006636996444,19,19,0.5,0.5,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
39,0.0,-1.0,-1.0,6976.340000000001,38,50.0,200.0,14,100.0,838.0,838.0,6138.340000000001,6137.973584857976,20,19,0.5128205128205128,0.48717948717948717,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
40,0.0,-1.0,-1.0,6976.340000000001,39,50.0,200.0,46,50.0,866.0,866.0,6110.340000000001,6110.543024105898,21,19,0.525,0.475,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
41,0.0,-1.0,-1.0,6976.340000000001,40,50.0,200.0,44,100.0,1576.0,1576.0,5400.340000000001,5400.814420448006,22,19,0.5365853658536586,0.4634146341463415,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
